Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
98,Swarupnagar,North 24 Parganas,Bina Mondal,AITC,99784,47.11,34800,Bina Mondal,AITC,94813,43.47,16017,Retained,AITC → AITC,-3.64,-18783,25.82,92.5,4.75,High,Kolkata Metro
99,Baduria,North 24 Parganas,Abdur Rahim Quazi,AITC,109701,51.53,56444,Burhanul Mokaddin,AITC,103334,45.45,40061,Retained,AITC → AITC,-6.08,-16383,25.82,92.5,4.75,High,Kolkata Metro
100,Habra,North 24 Parganas,Jyoti Priya Mallick,AITC,90533,44.34,3841,Debdas Mondal,BJP,104645,52.66,31462,Flipped,AITC → BJP,8.32,27621,25.82,92.5,4.75,High,Kolkata Metro
101,Ashoknagar,North 24 Parganas,Narayan Goswami,AITC,93587,43.18,23532,Dr. Sumay Hira,BJP,96807,44.05,9408,Flipped,AITC → BJP,0.87,-14124,25.82,92.5,4.75,High,Kolkata Metro
102,Amdanga,North 24 Parganas,Rafiqur Rahaman,AITC,88935,42.0,25480,Mohammad Kasem Siddique,AITC,81670,38.25,2995,Retained,AITC → AITC,-3.75,-22485,25.82,92.5,4.75,High,Kolkata Metro
103,Bijpur,North 24 Parganas,Subodh Adhikary,AITC,66625,47.9,13347,Sudipta Das,BJP,71799,49.56,13343,Flipped,AITC → BJP,1.66,-4,25.82,92.5,4.75,High,Kolkata Metro
104,Naihati,North 24 Parganas,Partha Bhowmick,AITC,77753,49.69,18855,Sumitro Chatterjee,BJP,77484,49.15,10430,Flipped,AITC → BJP,-0.54,-8425,25.82,92.5,4.75,High,Kolkata Metro
105,Bhatpara,North 24 Parganas,Pawan Kumar Singh,BJP,57244,53.4,13687,Pawan Kumar Singh,BJP,61683,58.02,22807,Retained,BJP → BJP,4.62,9120,25.82,92.5,4.75,High,Kolkata Metro
106,Jagatdal,North 24 Parganas,Somenath Shyam Ichini,AITC,87030,48.01,18364,Rajesh Kumar,BJP,94351,51.5,20909,Flipped,AITC → BJP,3.49,2545,25.82,92.5,4.75,High,Kolkata Metro
107,Noapara,North 24 Parganas,Manju Basu,AITC,94203,48.9,26710,Arjun Singh,BJP,94415,48.37,17656,Flipped,AITC → BJP,-0.53,-9054,25.82,92.5,4.75,High,Kolkata Metro
108,Barrackpur,North 24 Parganas,Raju Chakraborty (Raj),AITC,68887,46.47,9222,Kaustuv Bagchi,BJP,78466,50.65,15822,Flipped,AITC → BJP,4.18,6600,25.82,92.5,4.75,High,Kolkata Metro
