Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026
152,Tollyganj,South 24 Parganas,Aroop Biswas,AITC,101440,51.4,50080,Papiya Adhikari,BJP,88407,42.99,6013
153,Behala Purba,South 24 Parganas,Ratna Chatterjee,AITC,110968,50.01,37428,Sankar Sikder,BJP,115502,49.22,25137
154,Behala Paschim,South 24 Parganas,Partha Chatterjee,AITC,114778,49.51,50884,Indranil Khan,BJP,113502,47.39,24699
155,Maheshtala,South 24 Parganas,Dulal Chandra Das,AITC,124008,56.38,57949,Subhasis Das,AITC,116811,50.83,32913
156,Budge Budge,South 24 Parganas,Ashok Kumar Deb,AITC,122357,56.41,44714,Ashok Kumar Deb,AITC,127091,58.27,46850
157,Metiaburuz,South 24 Parganas,Abdul Khaleque Molla,AITC,151066,76.85,119604,Abdul Khaleque Molla,AITC,124230,68.99,87879
158,Kolkata Port,Kolkata,Firhad Hakim,AITC,105543,69.23,68554,Firhad Hakim,AITC,101266,65.43,56080
159,Bhabanipur,Kolkata,Sobhandeb Chattopadhyay,AITC,73505,57.71,28719,Suvendu Adhikari,BJP,73917,53.02,15105
160,Rashbehari,Kolkata,Debasish Kumar,AITC,65704,52.79,21414,Swapan Dasgupta,BJP,74123,53.39,20865
161,Ballygunge,Kolkata,Subrata Mukherjee,AITC,106585,70.6,75359,Sovandeb Chattopadhyay,AITC,108481,64.81,61476
162,Chowrangee,Kolkata,Bandyopadhyay Nayna,AITC,70101,62.87,45344,Nayna Bandyopadhyay,AITC,62938,57.15,22002
163,Entally,Kolkata,Swarna Kamal Saha,AITC,101709,64.83,58257,Sandipan Saha,AITC,94427,57.16,34006
164,Beleghata,Kolkata,Paresh Paul,AITC,103182,65.1,67140,Kunal Ghosh,AITC,93757,53.85,28576
165,Jorasanko,Kolkata,Vivek Gupta,AITC,52123,52.67,12743,Vijay Ojha,BJP,52668,49.48,5797
166,Shyampukur,Kolkata,Dr. Shashi Panja,AITC,55785,54.18,22520,Purnima Chakraborty,BJP,60248,51.6,14633
167,Maniktala,Kolkata,Sadhan Pande,AITC,67577,50.82,20238,Tapas Roy,BJP,76370,50.67,15644
168,Kashipur-Belgachhia,Kolkata,Atin Ghosh,AITC,76182,56.48,35390,Ritesh Tiwari,BJP,68368,45.41,1651
169,Bally,Howrah,Rana Chatterjee,AITC,53347,42.38,6237,Sanjay Kumar Singh,BJP,57639,48.91,11997
170,Howrah Uttar,Howrah,Gautam Chowdhuri,AITC,71575,47.81,5522,Umesh Rai,BJP,67539,50.76,11250
171,Howrah Madhya,Howrah,"Arup Roy, S/O Late Prabhat Roy",AITC,111554,57.16,46547,Arup Roy,AITC,95948,49.6,16083
172,Shibpur,Howrah,Manoj Tiwary,AITC,92372,50.69,32603,Rudranil Ghosh,BJP,89615,49.42,16058
173,Howrah Dakshin,Howrah,Nandita Chowdhury,AITC,116839,53.86,50569,Nandita Chowdhury,AITC,100540,45.28,7828
174,Sankrail,Howrah,Priya Paul,AITC,111888,50.37,40427,Priya Paul,AITC,105412,45.99,16740
175,Panchla,Howrah,Gulsan Mullick,AITC,104572,48.19,32751,Gulsan Mullick,AITC,123967,52.72,38320
176,Uluberia Purba,Howrah,Bidesh Ranjan Bose,AITC,86526,44.83,17126,Ritabrata Banerjee,AITC,95633,45.97,11838
177,Uluberia Uttar,Howrah,Dr. Nirmal Maji,AITC,91501,49.25,21003,Chiran Bera,BJP,93320,45.87,4177
178,Uluberia Dakshin,Howrah,Pulak Roy,AITC,101880,50.37,28438,Pulak Roy,AITC,109649,48.46,17187
179,Shyampur,Howrah,Kalipada Mandal,AITC,114804,51.74,31511,Hiran Chatterjee,BJP,125651,51.36,22260
180,Bagnan,Howrah,Arunava Sen (Raja),AITC,106042,53.04,30120,Arunava Sen,AITC,105060,48.1,11316
181,Amta,Howrah,Sukanta Kumar Paul,AITC,102445,49.06,26205,Amit Samanta,BJP,104649,44.16,4454
182,Udaynarayanpur,Howrah,Samir Kumar Panja,AITC,101510,51.21,13998,Samir Kumar Panja,AITC,105802,49.53,12227
183,Jagatballavpur,Howrah,Sitanath Ghosh,AITC,116562,49.45,29196,Anupam Ghosh,BJP,115608,45.78,6671
184,Domjur,Howrah,Kalyan Ghosh,AITC,130499,52.0,42620,Tapas Maity,AITC,134036,52.73,42177
185,Uttarpara,Hooghly,Kanchan Mullick,AITC,93878,46.96,35989,Dipanjan Chakraborty,BJP,80612,39.24,10415
186,Sreerampur,Hooghly,Dr. Sudipto Roy,AITC,93021,49.46,23433,Bhaskar Bhattacharya,BJP,85644,45.97,8685
187,Champdani,Hooghly,Arindam Guin (Bubai),AITC,100972,50.2,30078,Dilip Singh,BJP,93704,45.84,3026
188,Singur,Hooghly,Becharam Manna,AITC,101077,48.15,25923,Arup Kumar Das,BJP,113008,50.77,21438
189,Chandannagar,Hooghly,Indranil Sen,AITC,86778,47.63,31029,Deepanjan Kumar Guha,BJP,86273,46.16,13441
190,Chunchura,Hooghly,Asit Mazumder (Tapan),AITC,117104,45.97,18417,Subir Nag,BJP,137704,53.96,43435
191,Balagarh,Hooghly,Manoranjan Bapari,AITC,100364,45.63,5784,Sumana Sarkar,BJP,125624,55.58,41914
192,Pandua,Hooghly,Dr. Ratna De Nag,AITC,102874,45.99,31858,Tusar Kumar Majumdar,BJP,101349,43.36,5228
193,Saptagram,Hooghly,Tapan Dasgupta,AITC,93328,48.56,9772,Swaraj Ghosh,BJP,102414,52.1,23289
194,Chanditala,Hooghly,Swati Khandoker,AITC,103118,49.79,41347,Swati Khandoker,AITC,107143,47.1,19663
195,Jangipara,Hooghly,Snehasis Chakraborty,AITC,101885,48.42,17926,Prosenjit Bag,BJP,102409,44.09,862
196,Haripal,Hooghly,Dr. Karabi Manna,AITC,110215,49.92,23072,Madhumita Ghosh,BJP,113332,46.07,3488
197,Dhanekhali,Hooghly,Asima Patra,AITC,124776,53.36,30159,Asima Patra,AITC,123462,49.85,13057
198,Tarakeswar,Hooghly,Ramendu Sinharay,AITC,96698,46.96,7484,Santu Pan,BJP,116901,52.76,30999
199,Pursurah,Hooghly,Biman Ghosh,BJP,119334,53.5,28178,Biman Ghosh,BJP,138821,57.62,53453
200,Arambag,Hooghly,Madhusudan Bag,BJP,103108,46.88,7172,Hemanta Bag,BJP,123000,52.15,28959
201,Goghat,Hooghly,Biswanath Karak,BJP,102227,46.56,4147,Prasanta Digar,BJP,134498,57.39,49582
202,Khanakul,Hooghly,Susanta Ghosh,BJP,107403,49.27,12884,Susanta Ghosh,BJP,126729,53.44,34483
203,Tamluk,Purba Medinipur,Saumen Kumar Mahapatra,AITC,108243,45.86,793,Hare Krishna Bera,BJP,136566,53.15,34729
